run_id,perplexity,metric,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
tsne_euclidean_perp5_seed7_2d,5,euclidean,2,7,0.8589115472784697,0.8167284892140315,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed7_2d.csv
tsne_euclidean_perp5_seed42_2d,5,euclidean,2,42,0.8587287546765421,0.8171205458604789,0.7033158813263525,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed42_2d.csv
tsne_euclidean_perp5_seed99_2d,5,euclidean,2,99,0.8672754187779649,0.8166844106638438,0.7201196709050112,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed99_2d.csv
tsne_euclidean_perp5_seed123_2d,5,euclidean,2,123,0.8656383681557605,0.8174284143268609,0.6922961854899027,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed123_2d.csv
tsne_euclidean_perp5_seed256_2d,5,euclidean,2,256,0.8542234122525308,0.817548724243948,0.7149339316878583,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed256_2d.csv
tsne_euclidean_perp5_seed7_3d,5,euclidean,3,7,0.8620548817995566,0.7545923201338292,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed7_3d.csv
tsne_euclidean_perp5_seed42_3d,5,euclidean,3,42,0.8677330643621972,0.7547591433325319,0.662428322114186,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed42_3d.csv
tsne_euclidean_perp5_seed99_3d,5,euclidean,3,99,0.8656958964066473,0.7545239263870862,0.6601346297681375,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed99_3d.csv
tsne_euclidean_perp5_seed123_3d,5,euclidean,3,123,0.8706870413820138,0.7553476185365955,0.6604338070306657,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed123_3d.csv
tsne_euclidean_perp5_seed256_3d,5,euclidean,3,256,0.8760208513346288,0.7549026161686287,0.6668162552979306,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp5_seed256_3d.csv
tsne_cosine_perp5_seed7_2d,5,cosine,2,7,0.8734589468004085,0.7752342473519834,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed7_2d.csv
tsne_cosine_perp5_seed42_2d,5,cosine,2,42,0.8803577073246441,0.7766089547934024,0.7454998753428073,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed42_2d.csv
tsne_cosine_perp5_seed99_2d,5,cosine,2,99,0.8764554628500695,0.7777697445172795,0.7466467215158314,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed99_2d.csv
tsne_cosine_perp5_seed123_2d,5,cosine,2,123,0.8754935722804904,0.7766107898089476,0.7347294938917975,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed123_2d.csv
tsne_cosine_perp5_seed256_2d,5,cosine,2,256,0.8779417105243685,0.7767853285775467,0.7532286212914485,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed256_2d.csv
tsne_cosine_perp5_seed7_3d,5,cosine,3,7,0.8813077203595744,0.7132718535218465,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed7_3d.csv
tsne_cosine_perp5_seed42_3d,5,cosine,3,42,0.8718455753527116,0.7143311325065391,0.7327848416853653,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed42_3d.csv
tsne_cosine_perp5_seed99_3d,5,cosine,3,99,0.879854714603334,0.7132922160512217,0.7232111692844677,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed99_3d.csv
tsne_cosine_perp5_seed123_3d,5,cosine,3,123,0.8766242149158308,0.7118250255718109,0.7293941660433807,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed123_3d.csv
tsne_cosine_perp5_seed256_3d,5,cosine,3,256,0.8770706280711301,0.712822988622626,0.7226128147594116,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp5_seed256_3d.csv
tsne_correlation_perp5_seed7_2d,5,correlation,2,7,0.8811124051172822,0.7747836739002141,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed7_2d.csv
tsne_correlation_perp5_seed42_2d,5,correlation,2,42,0.8777682150342266,0.7760309312208611,0.7653453004238344,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed42_2d.csv
tsne_correlation_perp5_seed99_2d,5,correlation,2,99,0.8787124980125052,0.7767871059750544,0.7489902767389678,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed99_2d.csv
tsne_correlation_perp5_seed123_2d,5,correlation,2,123,0.8807169932609221,0.7757678923870767,0.750137122911992,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed123_2d.csv
tsne_correlation_perp5_seed256_2d,5,correlation,2,256,0.8783041081470401,0.7763468727068938,0.7551732734978808,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed256_2d.csv
tsne_correlation_perp5_seed7_3d,5,correlation,3,7,0.8840699871396278,0.7126547719200175,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed7_3d.csv
tsne_correlation_perp5_seed42_3d,5,correlation,3,42,0.8818094987642431,0.7126373095877179,0.7328347045624533,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed42_3d.csv
tsne_correlation_perp5_seed99_3d,5,correlation,3,99,0.8821497351082089,0.7113139011772852,0.731588132635253,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed99_3d.csv
tsne_correlation_perp5_seed123_3d,5,correlation,3,123,0.8856781977415987,0.7136080961814655,0.73742208925455,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed123_3d.csv
tsne_correlation_perp5_seed256_3d,5,correlation,3,256,0.8847355465013071,0.714402387769038,0.7204687110446273,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp5_seed256_3d.csv
tsne_manhattan_perp5_seed7_2d,5,manhattan,2,7,0.8771875060478661,0.8079142557763748,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed7_2d.csv
tsne_manhattan_perp5_seed42_2d,5,manhattan,2,42,0.868821092072903,0.8093234765436347,0.725006232859636,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed42_2d.csv
tsne_manhattan_perp5_seed99_2d,5,manhattan,2,99,0.8702499632858953,0.8066328654381848,0.7343804537521815,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed99_2d.csv
tsne_manhattan_perp5_seed123_2d,5,manhattan,2,123,0.8705637123481202,0.8058925516595369,0.7218648716030915,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed123_2d.csv
tsne_manhattan_perp5_seed256_2d,5,manhattan,2,256,0.8687817406242422,0.8071207552227434,0.7307404637247569,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed256_2d.csv
tsne_manhattan_perp5_seed7_3d,5,manhattan,3,7,0.8743444872111586,0.7455885323988419,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed7_3d.csv
tsne_manhattan_perp5_seed42_3d,5,manhattan,3,42,0.8811240549675606,0.7432111562594266,0.6810770381451009,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed42_3d.csv
tsne_manhattan_perp5_seed99_3d,5,manhattan,3,99,0.8787143953822574,0.7461513347397613,0.6845674395412615,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed99_3d.csv
tsne_manhattan_perp5_seed123_3d,5,manhattan,3,123,0.8784059589553386,0.7447633556524692,0.6969334330590875,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed123_3d.csv
tsne_manhattan_perp5_seed256_3d,5,manhattan,3,256,0.8691450489843949,0.7459506902813495,0.6917975567190228,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp5_seed256_3d.csv
tsne_euclidean_perp10_seed7_2d,10,euclidean,2,7,0.9041179754154006,0.8391077215356159,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed7_2d.csv
tsne_euclidean_perp10_seed42_2d,10,euclidean,2,42,0.893881437917872,0.8394761375965716,0.8191473448017951,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed42_2d.csv
tsne_euclidean_perp10_seed99_2d,10,euclidean,2,99,0.8991903543793381,0.839716976304919,0.8158563949139865,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed99_2d.csv
tsne_euclidean_perp10_seed123_2d,10,euclidean,2,123,0.9019464736813945,0.8395396409329233,0.8005484916479682,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed123_2d.csv
tsne_euclidean_perp10_seed256_2d,10,euclidean,2,256,0.9027711085230987,0.8395896071006216,0.8251308900523561,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed256_2d.csv
tsne_euclidean_perp10_seed7_3d,10,euclidean,3,7,0.9034799279151284,0.7795559885633827,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed7_3d.csv
tsne_euclidean_perp10_seed42_3d,10,euclidean,3,42,0.9117250999629254,0.7786251021851885,0.7517825978558964,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed42_3d.csv
tsne_euclidean_perp10_seed99_3d,10,euclidean,3,99,0.9055973546111967,0.7793342121177089,0.7588631264023934,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed99_3d.csv
tsne_euclidean_perp10_seed123_3d,10,euclidean,3,123,0.9062775616673631,0.7792333021967595,0.7668910496135627,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed123_3d.csv
tsne_euclidean_perp10_seed256_3d,10,euclidean,3,256,0.9147682154137006,0.7773791750084976,0.7676888556469709,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp10_seed256_3d.csv
tsne_cosine_perp10_seed7_2d,10,cosine,2,7,0.9295102850722158,0.8179523467378496,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed7_2d.csv
tsne_cosine_perp10_seed42_2d,10,cosine,2,42,0.9283093638612537,0.8181885929267412,0.9129892794814262,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed42_2d.csv
tsne_cosine_perp10_seed99_2d,10,cosine,2,99,0.929124473906802,0.8178122404088494,0.9270007479431563,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed99_2d.csv
tsne_cosine_perp10_seed123_2d,10,cosine,2,123,0.9273283098571774,0.81819602662247,0.924208426826228,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed123_2d.csv
tsne_cosine_perp10_seed256_2d,10,cosine,2,256,0.925579504156568,0.8186410223418573,0.918823236100723,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed256_2d.csv
tsne_cosine_perp10_seed7_3d,10,cosine,3,7,0.9266509868030344,0.764652855026182,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed7_3d.csv
tsne_cosine_perp10_seed42_3d,10,cosine,3,42,0.9293283273129791,0.7630266815401098,0.8963350785340315,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed42_3d.csv
tsne_cosine_perp10_seed99_3d,10,cosine,3,99,0.9303699453595459,0.7623833609811693,0.8824233358264774,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed99_3d.csv
tsne_cosine_perp10_seed123_3d,10,cosine,3,123,0.9318797583661673,0.7628145547609382,0.8919970082273748,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed123_3d.csv
tsne_cosine_perp10_seed256_3d,10,cosine,3,256,0.9271333740888357,0.7636946002381784,0.9033657442034406,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp10_seed256_3d.csv
tsne_correlation_perp10_seed7_2d,10,correlation,2,7,0.9281317700524471,0.8136240116515476,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed7_2d.csv
tsne_correlation_perp10_seed42_2d,10,correlation,2,42,0.9257498500129211,0.8159929447766558,0.9329344303166294,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed42_2d.csv
tsne_correlation_perp10_seed99_2d,10,correlation,2,99,0.9265660984803207,0.8170493781728421,0.9379705809025181,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed99_2d.csv
tsne_correlation_perp10_seed123_2d,10,correlation,2,123,0.9250817102283788,0.8149213732951683,0.9244577412116679,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed123_2d.csv
tsne_correlation_perp10_seed256_2d,10,correlation,2,256,0.9276626264075163,0.8139208287034625,0.9236100723011716,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed256_2d.csv
tsne_correlation_perp10_seed7_3d,10,correlation,3,7,0.928214191794483,0.7656952609125003,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed7_3d.csv
tsne_correlation_perp10_seed42_3d,10,correlation,3,42,0.928871820150598,0.7636884730648047,0.8965843929194717,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed42_3d.csv
tsne_correlation_perp10_seed99_3d,10,correlation,3,99,0.9317739230813892,0.7630881424610808,0.8913986537023187,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed99_3d.csv
tsne_correlation_perp10_seed123_3d,10,correlation,3,123,0.9289868387049769,0.7625939953557196,0.8929942657691349,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed123_3d.csv
tsne_correlation_perp10_seed256_3d,10,correlation,3,256,0.9306761428901571,0.7631175473877387,0.8943405634505112,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_correlation_perp10_seed256_3d.csv
tsne_manhattan_perp10_seed7_2d,10,manhattan,2,7,0.9285664195152827,0.8425459047425702,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed7_2d.csv
tsne_manhattan_perp10_seed42_2d,10,manhattan,2,42,0.9299149181455715,0.8400370044374691,0.8646222887060584,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed42_2d.csv
tsne_manhattan_perp10_seed99_2d,10,manhattan,2,99,0.9317558601213481,0.8406301328118949,0.855946148092745,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed99_2d.csv
tsne_manhattan_perp10_seed123_2d,10,manhattan,2,123,0.930045153605363,0.8409881395739455,0.8493642483171279,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed123_2d.csv
tsne_manhattan_perp10_seed256_2d,10,manhattan,2,256,0.9290064195608196,0.8421436056952428,0.8610321615557218,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed256_2d.csv
tsne_manhattan_perp10_seed7_3d,10,manhattan,3,7,0.9340791134881359,0.7852596654978728,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed7_3d.csv
tsne_manhattan_perp10_seed42_3d,10,manhattan,3,42,0.9307289277166635,0.783646830480144,0.8074794315632011,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed42_3d.csv
tsne_manhattan_perp10_seed99_3d,10,manhattan,3,99,0.933475749906934,0.7819405087036205,0.8107703814510098,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed99_3d.csv
tsne_manhattan_perp10_seed123_3d,10,manhattan,3,123,0.9325708563247113,0.7828697103151139,0.8131637995512342,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed123_3d.csv
tsne_manhattan_perp10_seed256_3d,10,manhattan,3,256,0.9371623393354728,0.7849327959532358,0.8258289703315882,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp10_seed256_3d.csv
